serial_number,terminal_id,deployment_date
0821894994,52304,2021-04-20
1850082528,93157,2021-10-18
0821579520,816534,2024-09-30
0822059003,753167,2023-12-23
0821933900,45688,2021-03-23
0821898296,587343,2023-06-12
0821579883,24432,2020-11-28
0821705337,14377,2020-10-25
0821891262,807075,2024-08-19
0822238445,74543,2021-08-09
1850031520,143389,2022-05-31
1850077332,777504,2024-04-07
0821210954,1327,2020-03-11
0821586869,783048,2024-05-01
0821589407,487776,2023-03-07
1850041996,125668,2022-03-22
0822061983,799357,2024-07-16
0821385822,2094,2020-06-29
0821746764,863797,2025-03-17
0822233825,78763,2021-08-26
0821590210,95010,2021-10-25
0821708003,494147,2023-03-15
0821871290,783037,2024-05-01
0822239749,823456,2024-10-30
0822298008,887429,2025-06-03
0821933499,575840,2023-06-04
0821709440,141429,2022-05-29
0821893804,110327,2022-01-11
0821873011,128053,2022-04-05
1850077062,435537,2022-12-22
0822311034,96691,2021-10-31
0822061746,164895,2022-06-29
0821542551,159042,2022-06-19
0822059054,774173,2024-03-24
0822311024,889156,2025-06-12
0821935198,580690,2023-06-07
0822216095,129899,2022-04-13
1850080807,577562,2023-06-05
1850082209,333014,2022-10-05
1850080559,373544,2022-11-09
0821588053,109826,2022-01-09
0821936092,836605,2024-12-15
0821707377,135627,2022-05-17
0821894649,790607,2024-06-02
0822243563,93393,2021-10-19
0821931951,50387,2021-04-14
0821929049,42203,2021-03-07
0821931572,112891,2022-01-25
0821588896,43465,2021-03-14
0821895422,63632,2021-06-03
0821928311,423789,2022-12-04
0821933577,710299,2023-12-11
0821871030,845921,2025-01-19
0822235520,111593,2022-01-18
0822239699,915536,2025-09-02
0821898069,175033,2022-07-20
0822236013,74402,2021-08-09
0821891187,358888,2022-10-27
1850075624,783346,2024-05-02
1850079584,465517,2023-02-08
0821892537,898433,2025-07-14
0821536234,111784,2022-01-19
0821543471,25292,2020-12-08
0822311637,90323,2021-10-06
0821930072,130198,2022-04-14
0822236035,873221,2025-04-22
1850048378,174988,2022-07-20
0822236711,887146,2025-06-03
1850083245,121995,2022-03-08
0822315793,630547,2023-07-25
0821542546,138676,2022-05-25
0822319282,326135,2022-09-30
0821581164,96128,2021-10-28
1850079535,810620,2024-09-03
0821543294,783574,2024-05-02
1850081043,125662,2022-03-22
1850038222,121076,2022-03-05
0821706520,798949,2024-07-14
0821897143,890190,2025-06-16
0821892568,429719,2022-12-14
0821588203,474453,2023-02-19
0821705765,783054,2024-05-01
0822319939,92131,2021-10-14
0821543064,20470,2020-11-16
0821706021,13122,2020-10-21
0822312295,823715,2024-10-31
0821746884,852678,2025-02-12
0821581164,852687,2025-02-12
0821745899,138257,2022-05-25
0821895422,63646,2021-06-03
0822311700,494253,2023-03-15
0822234805,831327,2024-11-26
0821871311,427668,2022-12-10
0821933861,776161,2024-04-01
1850031956,571925,2023-05-31
0822311034,790498,2024-06-02
1850048956,794972,2024-06-24
1850038697,798176,2024-07-09
0821545813,752900,2023-12-21
0821895651,445294,2023-01-09
0822236772,136776,2022-05-22
1850074556,752795,2023-12-21
0821929769,49913,2021-04-13
0821873903,47103,2021-03-31
1850038876,821583,2024-10-23
0821537041,907418,2025-08-07
0822253148,488407,2023-03-08
0821580238,29356,2021-01-14
0821578722,898447,2025-07-14
0821592970,764689,2024-02-12
1850037245,104008,2021-12-05
0822253480,136286,2022-05-19
0821897345,409776,2022-11-17
0821894844,43682,2021-03-16
0822295943,790713,2024-06-03
0822235599,468547,2023-02-14
0822312700,86175,2021-09-20
0821587088,28881,2021-01-11
0822208362,69454,2021-07-04
1850081721,761670,2024-01-30
0822236503,791156,2024-06-04
0822235367,773635,2024-03-21
0822239278,784200,2024-05-07
0821936745,623182,2023-07-12
1850037380,100977,2021-11-18
0822314620,900728,2025-07-20
0822238604,836007,2024-12-12
0821385820,2191,2020-06-30
0821586915,126391,2022-03-24
0822236952,625896,2023-07-17
0821538031,783469,2024-05-02
1850109096,706462,2023-11-26
0821385794,802979,2024-08-01
1850074439,810740,2024-09-03
0821898446,55245,2021-05-01
0821580359,556522,2023-05-18
1850079060,869802,2025-04-09
0821896593,475209,2023-02-20
0821748325,885770,2025-05-29
0821585875,126181,2022-03-23
0821894526,82709,2021-09-06
0822253479,99470,2021-11-13
1850079463,94160,2021-10-21
1850082209,156407,2022-06-15
0821936135,56405,2021-05-05
0821895046,700592,2023-11-05
0821579883,24420,2020-11-28
0821708303,8511,2020-09-29
1850039116,871806,2025-04-16
0821587161,19411,2020-11-12
0822208362,831864,2024-11-28
0821895242,843086,2025-01-08
0821928429,852556,2025-02-12
0821705244,260798,2022-08-30
0821935718,442668,2023-01-04
0822241543,771344,2024-03-11
0822233290,167009,2022-07-03
0822253372,78402,2021-08-25
0821930642,34352,2021-02-15
0821538925,706954,2023-11-28
0822243837,465334,2023-02-08
0821895422,59890,2021-05-20
0821539897,27174,2020-12-27
0822063206,85704,2021-09-19
1850108805,879239,2025-05-14
1850074325,457220,2023-01-25
1850034047,122456,2022-03-09
0822239140,580685,2023-06-07
0821747033,532649,2023-04-30
0821536848,765162,2024-02-14
0821590813,815609,2024-09-25
0822235253,830417,2024-11-24
V9E0013365,856734,2025-02-23
0821893191,532646,2023-04-30
0822240720,684729,2023-10-11
0821211216,447356,2023-01-12
1850039805,838190,2024-12-19
0821543257,807074,2024-08-19
0821706520,10100,2020-10-07
0822062513,843238,2025-01-08
0821895880,625893,2023-07-17
0822253148,81410,2021-08-31
0822215847,775336,2024-03-28
1850080047,901747,2025-07-22
1850076196,759628,2024-01-21
0821586507,295245,2022-09-12
0821898283,783518,2024-05-02
0821745889,118871,2022-02-22
0821707480,706940,2023-11-28
0821897324,805981,2024-08-14
0821543246,157123,2022-06-16
1850047323,852262,2025-02-11
0821587620,347642,2022-10-17
0821798847,78634,2021-08-26
0821578615,48624,2021-04-09
0822319579,434010,2022-12-20
0821589349,22304,2020-11-19
0821931329,111660,2022-01-18
0821586553,791769,2024-06-06
0822211827,111800,2022-01-19
1850036965,766482,2024-02-20
0822234826,65588,2021-06-10
0822066176,705750,2023-11-23
0821892570,65728,2021-06-10
0821588706,477166,2023-02-22
0822242690,819920,2024-10-16
0821933686,165349,2022-06-29
0821590603,21910,2020-11-18
0821928400,59503,2021-05-19
0821570365,3284,2020-08-11
0821895880,331615,2022-10-04
1850049113,784570,2024-05-08
0821870960,56464,2021-05-05
0821895880,103090,2021-11-29
0822236996,175896,2022-07-21
0821537055,4692,2020-08-27
0821873168,109655,2022-01-06
1850076063,119030,2022-02-23
0822236833,142663,2022-05-30
0822059067,66192,2021-06-15
0822059667,282225,2022-09-07
0822238543,798881,2024-07-14
0821931999,761808,2024-01-31
1850077620,116079,2022-02-09
0821894994,763143,2024-02-06
0821537079,8312,2020-09-28
0822243500,367417,2022-11-03
0822242257,790714,2024-06-03
1850039645,90457,2021-10-07
0821895545,799247,2024-07-15
0821580851,693604,2023-10-24
0821929489,54338,2021-04-27
0822297574,810649,2024-09-03
0821931999,106790,2021-12-19
1850082740,330324,2022-10-03
0821706540,8450,2020-09-28
0822312445,120504,2022-03-02
0821895422,60797,2021-05-23
V9E0011733,886234,2025-05-31
0822236024,883581,2025-05-23
0821580253,877118,2025-05-08
0821570361,3531,2020-08-13
0822240258,75900,2021-08-16
0821895441,228806,2022-08-18
1850039693,645678,2023-08-17
V9E0014402,881453,2025-05-18
1850038054,864061,2025-03-17
V9E0015563,855305,2025-02-19
0822233290,110361,2022-01-11
0821929495,60976,2021-05-24
0822210478,69901,2021-07-05
1850038923,466669,2023-02-12
0822062507,65925,2021-06-12
1850034093,101282,2021-11-20
0821928092,589727,2023-06-14
0821587206,862769,2025-03-12
0822319833,784310,2024-05-07
1850039562,92668,2021-10-17
0821537767,21531,2020-11-17
1850035014,107462,2021-12-22
0821544965,308942,2022-09-19
0822314620,84162,2021-09-12
0822061810,74419,2021-08-09
1850038113,350092,2022-10-19
0822240817,87713,2021-09-26
0822295857,836040,2024-12-12
0821708746,700634,2023-11-05
0821745661,859627,2025-03-03
0821536507,494057,2023-03-15
0821893582,683659,2023-10-10
0821893082,96858,2021-10-31
0821935907,103104,2021-11-29
0821580562,17462,2020-11-04
0821929495,61003,2021-05-24
0822243258,77577,2021-08-23
0821934260,885755,2025-05-29
0821933217,822810,2024-10-28
0821928251,800189,2024-07-18
0822295941,860010,2025-03-04
0821298630,467258,2023-02-13
0821892708,808220,2024-08-24
1850048995,124086,2022-03-15
0821586371,367450,2022-11-03
0821538063,48531,2021-04-08
0822320125,85381,2021-09-16
0821543577,800936,2024-07-22
0821930283,498679,2023-03-22
0821543577,34922,2021-02-18
1850057083,135268,2022-05-16
0821570365,178626,2022-07-25
0821872946,143510,2022-05-31
0822238960,70055,2021-07-06
0822240179,72880,2021-08-01
0822238489,73128,2021-08-02
0821545697,26937,2020-12-25
1850077753,122333,2022-03-09
0821211189,907731,2025-08-07
1850033880,122008,2022-03-08
0821872566,801119,2024-07-23
0822253026,367476,2022-11-03
0821709017,406757,2022-11-14
0822240827,129446,2022-04-11
0822208370,901048,2025-07-21
0821936142,564657,2023-05-25
0821705510,916252,2025-09-04
0821587620,576895,2023-06-05
0821892531,810308,2024-09-02
0822311797,166932,2022-07-03
0821893734,801981,2024-07-28
0821930869,94470,2021-10-24
0821932037,133397,2022-05-09
0821934855,459318,2023-01-30
0822298000,135770,2022-05-18
0822236532,647573,2023-08-20
0821538283,443263,2023-01-05
0821706157,795943,2024-06-29
1850073949,148584,2022-06-07
0821895340,52598,2021-04-22
0822244328,84913,2021-09-14
0822065605,508931,2023-04-09
0821536576,6520,2020-09-15
0821536401,572076,2023-05-31
1850040602,92173,2021-10-14
0821898696,850342,2025-02-04
0821872762,49737,2021-04-12
0822240250,894240,2025-06-30
0821748409,97211,2021-11-01
0821896362,302633,2022-09-15
0822313366,414512,2022-11-21
0821586381,630883,2023-07-26
0821893254,299519,2022-09-14
0822240081,577833,2023-06-05
0821589854,798604,2024-07-11
0821873263,43206,2021-03-13
0821706255,111682,2022-01-18
0822244269,533787,2023-05-01
0821901026,545433,2023-05-09
0821588535,846625,2025-01-21
0821871638,888899,2025-06-11
0822237610,468377,2023-02-14
0821590593,14710,2020-10-26
0821928480,706933,2023-11-28
0821892436,790825,2024-06-03
0821537978,323959,2022-09-28
0822298247,85307,2021-09-16
0822298283,626565,2023-07-18
1850073952,100734,2021-11-17
0821934065,798605,2024-07-11
0821537306,9256,2020-10-03
1850080803,896478,2025-07-08
0821891616,32651,2021-02-04
0821590603,133077,2022-05-07
0822236554,193529,2022-08-04
1850082591,106233,2021-12-16
0821589456,901625,2025-07-22
0821538835,827324,2024-11-13
0821570523,4273,2020-08-24
0821538318,369910,2022-11-05
0821708465,10629,2020-10-11
0821537807,27175,2020-12-27
0821892932,789553,2024-05-28
1850039805,848853,2025-01-29
0822243548,843085,2025-01-08
1850079239,874779,2025-04-28
0822058855,825799,2024-11-08
1850054466,846283,2025-01-20
0822237929,67448,2021-06-24
0821895422,59895,2021-05-20
0822239370,73747,2021-08-05
1850039498,660046,2023-09-06
0821936745,100888,2021-11-18
0822313043,87239,2021-09-23
0821800848,814755,2024-09-22
V9E0017631,856737,2025-02-23
0822065605,753441,2023-12-24
0821580806,847212,2025-01-23
1850077783,850044,2025-02-03
1850078052,865107,2025-03-20
0821871715,519763,2023-04-19
0821900818,580716,2023-06-07
1850039029,866954,2025-03-26
0821706071,302384,2022-09-15
0821579849,339188,2022-10-11
0822312835,84616,2021-09-14
0821929489,825687,2024-11-07
0821892438,835255,2024-12-10
0822239689,94668,2021-10-24
0822238786,78897,2021-08-26
0821900747,84558,2021-09-13
1850078983,650425,2023-08-24
1850039129,803963,2024-08-06
0821799242,114329,2022-02-01
0821705593,789491,2024-05-28
0821537961,887437,2025-06-03
0821895695,122017,2022-03-08
1850080937,708468,2023-12-04
0821579608,826651,2024-11-11
0821748486,99421,2021-11-13
0821799243,465149,2023-02-07
0821350425,3217,2020-08-11
0821570165,3915,2020-08-18
0822064682,684149,2023-10-10
0821898234,323823,2022-09-28
1850082315,89841,2021-10-04
0821930857,114837,2022-02-02
0822238805,580692,2023-06-07
0821895887,580708,2023-06-07
0822298194,677479,2023-10-01
0821891139,701612,2023-11-08
V9E0017691,889933,2025-06-15
0822298363,82328,2021-09-05
1850037729,876284,2025-05-05
0821894436,873266,2025-04-22
0821385977,847814,2025-01-26
0821934260,767651,2024-02-25
1850077783,705133,2023-11-21
1850082257,97594,2021-11-03
V9E0012576,855637,2025-02-19
1850054448,861876,2025-03-10
0821927637,787986,2024-05-21
0821897342,884101,2025-05-25
0821585980,404581,2022-11-10
0821874039,143456,2022-05-31
0821580805,4989,2020-08-30
0821586140,15447,2020-10-28
0822216077,918021,2025-09-11
0821898103,446925,2023-01-11
1850108620,100068,2021-11-15
1850077769,871063,2025-04-14
0821896711,706955,2023-11-28
0822239165,800562,2024-07-21
0821895441,889274,2025-06-12
0821586700,166885,2022-07-03
0822066343,404944,2022-11-11
0822313319,109515,2022-01-05
0821706471,562573,2023-05-23
0821570365,837884,2024-12-18
0821896908,328658,2022-10-02
0821541414,85992,2021-09-19
0821896729,138813,2022-05-25
1850021778,106231,2021-12-16
0821538805,406107,2022-11-13
0821934618,45078,2021-03-22
1850080202,162069,2022-06-23
0821709443,858101,2025-02-26
0821537217,177954,2022-07-24
1850041783,125664,2022-03-22
0822238446,798295,2024-07-10
1850056635,122730,2022-03-10
0822253588,83814,2021-09-11
1850035045,688470,2023-10-16
0821298701,4285,2020-08-24
0821893101,779122,2024-04-15
0821929495,60953,2021-05-24
0821891139,61596,2021-05-26
1850109087,463207,2023-02-05
0821873792,43759,2021-03-16
0821873302,730211,2023-12-18
0821587773,835884,2024-12-12
V9E0011594,862926,2025-03-13
0822311960,838212,2024-12-19
1850080380,152431,2022-06-11
0821590210,221407,2022-08-15
0821892438,845294,2025-01-16
0822238957,904287,2025-07-29
0822315008,903498,2025-07-28
0821873789,112780,2022-01-24
0822062370,61431,2021-05-25
0822253626,685483,2023-10-12
0821546085,11733,2020-10-15
1850080771,109065,2022-01-03
0821932271,53929,2021-04-26
0822314806,792515,2024-06-10
V9E0012335,855377,2025-02-19
0821746884,99435,2021-11-13
0821874019,871006,2025-04-14
0822253480,855739,2025-02-19
0821590297,683011,2023-10-09
0821570061,3110,2020-08-10
0821545856,846266,2025-01-20
0822253613,701689,2023-11-08
0822235545,792303,2024-06-09
0821580852,457558,2023-01-25
0821930072,839283,2024-12-24
0822208134,109902,2022-01-09
0821896339,154404,2022-06-13
1850039715,103345,2021-11-30
0821588716,22417,2020-11-19
0821893101,159285,2022-06-19
0822239908,110839,2022-01-13
0821537026,333231,2022-10-05
0822235187,669548,2023-09-19
0822236040,70888,2021-07-11
0821930144,505375,2023-04-02
0822215639,131987,2022-04-24
0822297746,840842,2024-12-30
0822237441,891384,2025-06-20
0822215920,835046,2024-12-09
0820414498,705625,2023-11-23
0821931108,916984,2025-09-08
1850026894,878775,2025-05-13
0822235689,130920,2022-04-18
V9E0016055,868744,2025-04-06
0821543743,19480,2020-11-12
0822253626,887311,2025-06-03
0821586463,113072,2022-01-25
0821931763,130926,2022-04-18
0822298344,130077,2022-04-13
0821895436,111645,2022-01-18
0821537041,144660,2022-06-02
0821891167,779593,2024-04-17
1850042094,912900,2025-08-25
0821897115,804030,2024-08-06
V9E0012556,876319,2025-05-05
0821931763,42208,2021-03-07
0822207590,902827,2025-07-26
0821705762,33989,2021-02-13
0822062196,98297,2021-11-07
0821537913,872010,2025-04-17
0822313366,82393,2021-09-05
0821546094,109153,2022-01-03
0821746077,99403,2021-11-12
0822318085,891783,2025-06-22
0821590683,162440,2022-06-23
1850038011,178188,2022-07-24
0821871783,128149,2022-04-05
1850074706,88909,2021-09-30
0821386381,102873,2021-11-28
1850081231,103421,2021-12-01
0822058855,817476,2024-10-04
1850047395,664013,2023-09-12
0822244354,344755,2022-10-15
1850076049,107110,2021-12-21
0822312074,891663,2025-06-22
0822298344,878535,2025-05-13
0822239412,804500,2024-08-08
0821706344,10169,2020-10-08
0821348648,763769,2024-02-08
0821570261,886967,2025-06-02
0821932662,221261,2022-08-15
0822060191,894260,2025-06-30
1850108220,821204,2024-10-21
V9E0014713,855307,2025-02-19
0821537041,812082,2024-09-10
1850080013,843981,2025-01-12
0821896013,161729,2022-06-22
0821929822,815804,2024-09-26
0821705775,15926,2020-10-29
0821580189,435597,2022-12-22
1850081612,307432,2022-09-18
0821929278,827872,2024-11-14
0822215668,831869,2024-11-28
0821929495,60967,2021-05-24
0821893254,96867,2021-10-31
0822237175,706941,2023-11-28
1850077742,870429,2025-04-11
0821898406,890593,2025-06-17
0822061792,877822,2025-05-11
0821930727,136473,2022-05-21
0821537765,888739,2025-06-10
0821708490,904063,2025-07-29
0821537693,909118,2025-08-12
0821900972,700951,2023-11-06
0821589431,805632,2024-08-13
V9E0016078,855373,2025-02-19
0821871977,43669,2021-03-16
0822235736,166963,2022-07-03
1850073746,354434,2022-10-22
0822295851,70871,2021-07-11
1850074039,908236,2025-08-10
1850038178,146979,2022-06-05
0821590603,150849,2022-06-08
1850021782,93164,2021-10-18
0822233908,471012,2023-02-16
0821933678,866595,2025-03-25
0821536616,634346,2023-08-01
1850081809,112548,2022-01-23
0822297730,167955,2022-07-05
0821536359,6250,2020-09-13
0821895422,64052,2021-06-05
1850036778,881691,2025-05-18
1850080803,166171,2022-07-02
0821748665,52991,2021-04-23
V9E0010187,881441,2025-05-18
0822234067,904152,2025-07-29
0822236391,800387,2024-07-20
0821536137,871800,2025-04-16
0821386369,289328,2022-09-10
1850082264,102450,2021-11-25
0822298716,873589,2025-04-23
0821928816,552352,2023-05-14
0821931788,136321,2022-05-19
0821708501,19377,2020-11-12
1850040041,157388,2022-06-16
0821538835,877651,2025-05-10
V9E0012614,854359,2025-02-17
1850028869,667630,2023-09-17
0821705596,894596,2025-06-30
1850040025,876174,2025-05-04
1850036662,851645,2025-02-09
0822060209,302169,2022-09-15
0822311137,896663,2025-07-09
0821895520,892829,2025-06-25
0822234391,908333,2025-08-10
0821936127,702728,2023-11-13
0821580079,875482,2025-04-30
1850073855,103426,2021-12-01
0821871715,884383,2025-05-26
0821935079,866598,2025-03-25
1850077780,262537,2022-08-30
0822312325,871331,2025-04-15
0821706275,875279,2025-04-29
0821543097,135860,2022-05-18
0821385794,2049,2020-06-27
1850030763,896475,2025-07-08
1850027818,675092,2023-09-27
1850036965,139465,2022-05-26
0821587620,896026,2025-07-06
1850047486,900559,2025-07-19
0821579933,673732,2023-09-25
0821895422,60839,2021-05-23
0821589292,94822,2021-10-25
0821929495,60992,2021-05-24
0821580232,160700,2022-06-21
0821935135,627225,2023-07-19
0822298031,81463,2021-08-31
1850075789,102367,2021-11-24
0821896362,447096,2023-01-12
1850080807,851638,2025-02-09
0821872309,689636,2023-10-18
1850080667,890412,2025-06-17
1850080667,162035,2022-06-23
1850047487,155902,2022-06-14
0821243244,1402,2020-03-19
0822235531,844224,2025-01-13
1850042080,146986,2022-06-05
0821872702,822573,2024-10-27
0822233908,789677,2024-05-29
0822319918,85278,2021-09-16
1850039043,125663,2022-03-22
0821580817,5524,2020-09-06
0821872436,654507,2023-08-30
0821590813,18923,2020-11-10
0821546012,817737,2024-10-06
0821745886,35048,2021-02-18
0821579642,88892,2021-09-30
0821705449,415613,2022-11-22
1850079790,548718,2023-05-11
0821934618,140029,2022-05-27
0822058103,841765,2025-01-02
0821898197,887123,2025-06-03
0821587318,23607,2020-11-23
0821935907,507866,2023-04-06
0821586371,19261,2020-11-11
1850034892,102137,2021-11-23
0822059042,86853,2021-09-22
0821707970,755299,2024-01-02
0822237248,139848,2022-05-26
0821930449,42914,2021-03-11
0821386307,3015,2020-08-06
1850055868,125674,2022-03-22
0822298149,201088,2022-08-07
0821873898,448544,2023-01-14
0822237248,84531,2021-09-13
0821931763,518648,2023-04-18
0821873516,887137,2025-06-03
1850077628,97314,2021-11-01
1850083099,776871,2024-04-04
0821538171,153366,2022-06-12
1850034830,134479,2022-05-12
0821929931,28391,2021-01-06
0822062196,631574,2023-07-27
0822058998,865142,2025-03-20
1850034770,424440,2022-12-05
0821932478,89096,2021-09-30
V9E0017124,856782,2025-02-23
0822320197,277154,2022-09-05
0821570374,841522,2025-01-01
0821893609,846589,2025-01-21
0822319935,125617,2022-03-21
1850041991,125665,2022-03-22
1850049189,829382,2024-11-20
0821570553,827504,2024-11-13
V9E0015133,861507,2025-03-09
V9E0010890,855351,2025-02-19
V9E0014055,855347,2025-02-19
0821871715,28231,2021-01-05
0821538171,915151,2025-09-01
0822215928,917683,2025-09-10
0821590206,289427,2022-09-10
V9E0014366,855402,2025-02-19
0821746764,36021,2021-02-27
0822234323,74378,2021-08-08
1850035684,116890,2022-02-14
0821707478,7815,2020-09-26
0822060127,512568,2023-04-13
0822240720,913282,2025-08-26
0821348743,786452,2024-05-15
0821539982,864448,2025-03-18
0821542718,828398,2024-11-17
0821745616,903114,2025-07-27
0821927517,116666,2022-02-13
0821539813,28017,2021-01-03
0821873263,43196,2021-03-13
0821587206,26221,2020-12-20
0822319473,82538,2021-09-06
0822240258,510133,2023-04-10
0821927437,683813,2023-10-10
0822253604,322033,2022-09-27
0822243041,752866,2023-12-21
0821537698,792433,2024-06-10
